Index,Time [s],Voltage [V],Current [A],Negative electrode potential [V],Positive electrode potential [V]
1,0,2.7318,0,1.1087,3.8245
2,2.16,2.732,0,1.1088,3.8246
3,3.96,2.732,0,1.109,3.8245
4,6.12,2.732,0,1.1092,3.8245
5,7.92,2.7318,0,1.109,3.8243
6,10.08,2.7318,0,1.1088,3.8245
7,10.08,2.6934,0.92805374,1.1088,3.8245
8,10.08,2.6714,1.00007629,1.1088,3.8245
9,10.44,2.6564,1.00053406,1.1481,3.795
10,10.8,2.6433,1.00053406,1.1551,3.7893
11,11.16,2.6314,0.99992371,1.1643,3.7853
12,11.52,2.6198,1.00007629,1.1702,3.7772
13,12.24,2.6085,1.00038147,1.1777,3.7734
14,12.96,2.5974,0.99992371,1.1838,3.7669
15,14.04,2.5863,1.00007629,1.1892,3.7624
16,14.76,2.5753,1.00053406,1.1958,3.7575
17,15.84,2.564,0.99977112,1.202,3.7527
18,16.92,2.553,0.99977112,1.2081,3.7483
19,18,2.5422,1.00022888,1.2154,3.743
20,19.08,2.531,1.00038147,1.2221,3.7387
21,20.16,2.5203,0.99992371,1.2288,3.7341
22,21.6,2.5095,1.00022888,1.2339,3.7293
23,22.68,2.5,1.00007629,1.2401,3.7257
24,22.68,2.5382,0,1.2401,3.7257
25,23.4,2.603,0,1.1836,3.7672
26,24.48,2.6203,0,1.1731,3.7751
27,25.56,2.6284,0,1.1683,3.779
28,26.64,2.6331,0,1.1651,3.7815
29,27.36,2.6365,0,1.1634,3.7829
30,28.44,2.6389,0,1.162,3.7842
31,29.52,2.641,0,1.1608,3.7852
32,30.6,2.6427,0,1.1597,3.786
33,31.68,2.6442,0,1.1589,3.7869
34,32.4,2.6453,0,1.1586,3.7874
35,32.4,2.7231,1.65102613,1.1593,3.8057
36,32.76,2.7506,1.6501106,1.1593,3.8057
37,32.76,2.7672,1.6501106,1.1593,3.8057
38,33.12,2.7805,1.64965284,1.0859,3.8421
39,33.48,2.7929,1.6501106,1.0766,3.8493
40,34.2,2.804,1.6501106,1.0704,3.8537
41,34.92,2.8154,1.64965284,1.0634,3.8594
42,35.64,2.8266,1.6501106,1.0576,3.8642
43,36.36,2.8376,1.64965284,1.0521,3.8687
44,37.44,2.8484,1.65041578,1.0459,3.8741
45,38.16,2.8591,1.64980543,1.0395,3.8795
46,39.24,2.8702,1.64980543,1.0339,3.8843
47,40.32,2.8809,1.65026319,1.0284,3.8892
48,41.4,2.8916,1.65026319,1.022,3.8949
49,42.48,2.9026,1.64995801,1.0161,3.9003
50,43.92,2.9134,1.64995801,1.0106,3.9052
51,45,2.9242,1.64950025,1.0051,3.9099
52,46.44,2.9349,1.64995801,0.9991,3.9142
53,48.24,2.9454,1.65072095,0.994,3.92
54,49.68,2.956,1.64995801,0.988,3.9251
55,51.48,2.9665,1.64995801,0.9827,3.9301
56,53.28,2.9769,1.64965284,0.9773,3.9347
57,55.44,2.9873,1.64980543,0.9713,3.9396
58,57.96,2.9976,1.64980543,0.9659,3.9444
59,60.48,3.0082,1.64965284,0.9603,3.9493
60,63,3.0182,1.64965284,0.9544,3.9546
61,65.88,3.0286,1.6501106,0.9492,3.959
62,69.12,3.0391,1.64965284,0.9436,3.9639
63,72.36,3.0494,1.64980543,0.9377,3.9689
64,75.96,3.0597,1.64980543,0.9323,3.9735
65,79.56,3.0701,1.64995801,0.9269,3.9781
66,83.52,3.0803,1.64950025,0.9212,3.9829
67,87.48,3.0907,1.6501106,0.9158,3.9876
68,91.8,3.1009,1.64950025,0.91,3.9924
69,96.48,3.1113,1.6501106,0.9041,3.9972
70,101.16,3.1215,1.64995801,0.8987,4.0019
71,106.2,3.1318,1.64965284,0.8937,4.0061
72,111.24,3.1418,1.64995801,0.8879,4.011
73,116.64,3.1519,1.64995801,0.8824,4.0158
74,122.4,3.1621,1.64995801,0.8768,4.0204
75,128.52,3.1724,1.65026319,0.8712,4.0252
76,134.64,3.1826,1.6501106,0.8657,4.0296
77,141.48,3.1928,1.6501106,0.8601,4.0342
78,148.68,3.203,1.64995801,0.8545,4.0388
79,155.88,3.2132,1.64995801,0.8488,4.0433
80,163.44,3.2233,1.64980543,0.8432,4.0479
81,171.72,3.2335,1.65026319,0.8378,4.0524
82,180.36,3.2436,1.64995801,0.8323,4.0571
83,189,3.254,1.64980543,0.8265,4.0617
84,198.72,3.2641,1.64965284,0.8208,4.066
85,208.44,3.2744,1.65041578,0.8149,4.0708
86,219.24,3.2847,1.6501106,0.8092,4.0749
87,230.04,3.2947,1.64995801,0.8035,4.0797
88,241.56,3.3051,1.65026319,0.7974,4.084
89,253.8,3.3152,1.6501106,0.7914,4.0886
90,266.76,3.3254,1.64965284,0.7857,4.0929
91,280.44,3.3355,1.65041578,0.7796,4.0975
92,294.84,3.3457,1.64965284,0.7739,4.1018
93,310.32,3.3558,1.64995801,0.7682,4.1061
94,326.16,3.3658,1.64965284,0.7626,4.1104
95,343.44,3.3762,1.65041578,0.7569,4.115
96,362.52,3.3864,1.64965284,0.751,4.1192
97,382.32,3.3965,1.64934766,0.7451,4.1233
98,405,3.4066,1.64995801,0.7392,4.1278
99,430.56,3.4166,1.64995801,0.7333,4.1319
100,461.52,3.4267,1.64980543,0.7271,4.1359
101,501.48,3.4368,1.64980543,0.7204,4.14
102,548.28,3.4469,1.6501106,0.7141,4.1435
103,601.56,3.4571,1.65026319,0.7077,4.147
104,662.4,3.4672,1.64950025,0.7014,4.1513
105,732.6,3.4772,1.64980543,0.6958,4.1562
106,829.44,3.4873,1.64995801,0.6896,4.16
107,937.08,3.4974,1.64980543,0.6831,4.1642
108,1038.24,3.5074,1.64980543,0.6766,4.1677
109,1137.24,3.5175,1.64995801,0.671,4.1718
110,1236.6,3.5276,1.64980543,0.6648,4.1759
111,1339.2,3.5377,1.64980543,0.6592,4.1802
112,1440.72,3.5479,1.64965284,0.6551,4.1868
113,1546.56,3.5581,1.64980543,0.6502,4.1914
114,1652.76,3.5683,1.6501106,0.6449,4.1968
115,1760.04,3.5784,1.64965284,0.6401,4.202
116,1863.36,3.5885,1.64980543,0.6349,4.2071
117,1964.88,3.5985,1.64980543,0.6295,4.2117
118,2065.32,3.6086,1.64980543,0.6241,4.216
119,2173.68,3.6188,1.6501106,0.619,4.2208
120,2291.76,3.6289,1.65056837,0.6134,4.2257
121,2423.16,3.639,1.6501106,0.6088,4.2307
122,2572.2,3.6492,1.65056837,0.6043,4.2365
123,2731.32,3.6593,1.64950025,0.5997,4.2424
124,2887.92,3.6693,1.64934766,0.5953,4.2478
125,3044.52,3.6794,1.64980543,0.5896,4.2521
126,3199.68,3.6895,1.64980543,0.5846,4.2571
127,3354.84,3.6995,1.65041578,0.5799,4.2623
128,3506.4,3.7096,1.64965284,0.5752,4.2677
129,3660.12,3.7197,1.64965284,0.5706,4.2734
130,3815.64,3.7298,1.64980543,0.5659,4.2785
131,3973.68,3.7398,1.65026319,0.5612,4.2839
132,4138.92,3.7499,1.65026319,0.5563,4.2893
133,4298.4,3.76,1.65026319,0.5523,4.2951
134,4452.84,3.77,1.64995801,0.5477,4.3006
135,4599,3.7801,1.6501106,0.5436,4.3067
136,4735.08,3.7902,1.64950025,0.5395,4.3126
137,4865.04,3.8003,1.65041578,0.5355,4.3186
138,4986.72,3.8103,1.64995801,0.5313,4.3245
139,5102.64,3.8204,1.65026319,0.5272,4.3309
140,5211.72,3.8305,1.64950025,0.5229,4.3366
141,5318.64,3.8405,1.64934766,0.5186,4.3417
142,5423.4,3.8508,1.65026319,0.5119,4.345
143,5527.08,3.8608,1.64965284,0.5083,4.3517
144,5627.16,3.8709,1.64965284,0.5046,4.3579
145,5727.24,3.8811,1.6501106,0.5006,4.3641
146,5828.04,3.8912,1.64980543,0.4967,4.3701
147,5928.84,3.9013,1.65041578,0.4929,4.3762
148,6031.8,3.9113,1.65041578,0.4887,4.3822
149,6133.32,3.9214,1.64965284,0.4846,4.3883
150,6238.44,3.9315,1.65026319,0.4804,4.3943
151,6342.48,3.9416,1.64995801,0.4765,4.3999
152,6449.04,3.9516,1.64965284,0.4727,4.4062
153,6558.84,3.9617,1.64980543,0.4687,4.4123
154,6666.84,3.9718,1.64950025,0.4647,4.4183
155,6779.88,3.9818,1.6501106,0.461,4.4245
156,6892.92,3.9919,1.65041578,0.4566,4.4304
157,7006.68,4.002,1.64965284,0.4526,4.4363
158,7123.32,4.0121,1.65026319,0.4485,4.4422
159,7235.64,4.0221,1.6501106,0.4447,4.4481
160,7348.68,4.0322,1.64995801,0.4404,4.454
161,7456.68,4.0424,1.64995801,0.4367,4.4603
162,7563.96,4.0525,1.64995801,0.4329,4.4665
163,7667.64,4.0627,1.64995801,0.4294,4.4726
164,7768.44,4.0728,1.64980543,0.4248,4.4785
165,7864.2,4.0829,1.6501106,0.4218,4.4858
166,7957.8,4.0931,1.64965284,0.4187,4.4928
167,8048.16,4.1032,1.6501106,0.4159,4.4996
168,8137.8,4.1134,1.64965284,0.4122,4.5066
169,8228.16,4.1234,1.64995801,0.4079,4.5123
170,8314.92,4.1335,1.64995801,0.4038,4.5181
171,8402.04,4.1436,1.65041578,0.3992,4.5231
172,8490.24,4.1537,1.65026319,0.395,4.5292
173,8581.32,4.1637,1.64965284,0.3912,4.5351
174,8677.44,4.174,1.64934766,0.3872,4.5418
175,8777.88,4.184,1.65026319,0.3839,4.5481
176,8890.56,4.1941,1.64965284,0.3795,4.5534
177,8960.76,4.2,1.64950025,0.3761,4.5559
178,8960.76,4.2028,1.74227512,0.3761,4.5559
179,8966.52,4.2004,1.6423285,0.3758,4.5561
180,9034.56,4.2,1.54238188,0.3763,4.5562
181,9147.24,4.2,1.4422828,0.3775,4.5578
182,9296.28,4.2,1.34233618,0.3793,4.5592
183,9471.6,4.2,1.2419318,0.3802,4.5599
184,9666.72,4.2002,1.14168,0.381,4.5605
185,9870.84,4.2,1.04142821,0.3804,4.5594
186,10079.64,4.2,0.94102389,0.3795,4.5578
187,10285.92,4.2,0.84107727,0.379,4.5569
188,10494.36,4.1999,0.74113071,0.3798,4.5577
189,10704.6,4.1999,0.64087892,0.3801,4.5573
190,10932.12,4.2,0.54077971,0.3823,4.5596
191,11187,4.1999,0.44052798,0.3845,4.5612
192,11486.88,4.2002,0.34317541,0.3887,4.5651
193,11786.76,4.2002,0.26489663,0.3909,4.5672
194,12087,4.2,0.20523384,0.3944,4.5702
195,12337.56,4.2,0.16495003,0.3958,4.5721
196,12337.56,4.1952,0,0.3958,4.5721
197,12347.64,4.193,0,0.3995,4.5683
198,12357.72,4.192,0,0.3993,4.5672
199,12367.8,4.1915,0,0.4003,4.568
200,12377.52,4.1907,0,0.4014,4.5683
201,12387.6,4.1903,0,0.4019,4.5686
202,12397.68,4.19,0,0.4025,4.5683
203,12407.76,4.1894,0,0.4044,4.5699
204,12417.48,4.1889,0,0.4044,4.5693
205,12427.56,4.1888,0,0.4038,4.5685
206,12437.64,4.1886,0,0.4035,4.568
207,12447.72,4.188,0,0.4035,4.5675
208,12457.8,4.1878,0,0.4033,4.5669
209,12467.52,4.1875,0,0.4035,4.567
210,12477.6,4.1872,0,0.4035,4.5667
211,12487.68,4.1869,0,0.4035,4.5662
212,12497.76,4.1868,0,0.403,4.5654
213,12507.48,4.1866,0,0.403,4.5656
214,12517.56,4.1865,0,0.403,4.5651
215,12527.64,4.186,0,0.4039,4.5656
216,12537.72,4.1857,0,0.4043,4.5658
217,12547.8,4.1854,0,0.4043,4.5656
218,12557.52,4.1854,0,0.4041,4.5651
219,12567.6,4.1851,0,0.4039,4.5648
220,12577.68,4.1846,0,0.4041,4.5648
221,12587.76,4.1845,0,0.4039,4.5648
222,12597.48,4.1845,0,0.4039,4.5642
223,12607.56,4.1845,0,0.4043,4.5643
224,12617.64,4.184,0,0.4047,4.5647
225,12627.72,4.184,0,0.4046,4.5645
226,12637.8,4.1839,0,0.4051,4.5647
227,12637.8,4.031,5.00267029,0.4051,4.5647
228,12638.16,4.0194,4.99977112,0.5024,4.5074
229,12638.88,4.0099,5.00022888,0.5123,4.5007
230,12639.96,4.004,4.99992371,0.5148,4.4964
231,12641.04,3.9992,4.99931335,0.5164,4.4932
232,12642.12,3.9956,5.00038147,0.5177,4.491
233,12643.2,3.9918,5.00053406,0.5189,4.4886
234,12643.92,3.9892,5.00007629,0.5199,4.4867
235,12645,3.986,4.99992371,0.521,4.4848
236,12646.08,3.9835,4.99992371,0.5218,4.4827
237,12647.16,3.9811,4.99946594,0.5226,4.4815
238,12647.88,3.9788,4.99992371,0.5232,4.4799
239,12648.96,3.9767,5.00038147,0.5242,4.4781
240,12650.04,3.9745,4.99992371,0.5243,4.4767
241,12651.12,3.9728,4.99977112,0.5251,4.4756
242,12652.2,3.9707,4.99992371,0.5258,4.4743
243,12652.92,3.969,5.00022888,0.5263,4.473
244,12654,3.9673,4.99961853,0.5266,4.4718
245,12655.08,3.9657,4.99992371,0.5272,4.4708
246,12656.16,3.9641,5.00038147,0.5277,4.4695
247,12656.88,3.9629,4.99961853,0.5282,4.4686
248,12657.96,3.9614,5.00038147,0.5286,4.4673
249,12659.04,3.9597,5.00007629,0.529,4.4665
250,12660.12,3.9583,5.00022888,0.5294,4.4656
251,12661.2,3.9573,4.99977112,0.5298,4.4646
252,12661.92,3.9557,5.00022888,0.5302,4.464
253,12663,3.9547,5.00022888,0.5305,4.4632
254,12664.08,3.9533,5.00038147,0.531,4.4621
255,12665.16,3.9522,4.99961853,0.5313,4.4614
256,12665.88,3.9513,4.99977112,0.5315,4.4606
257,12666.96,3.95,5.00038147,0.532,4.46
258,12668.04,3.9487,4.99992371,0.5325,4.4589
259,12669.12,3.9478,5.00007629,0.5328,4.4583
260,12670.2,3.9466,4.99961853,0.5329,4.4576
261,12670.92,3.9457,4.99961853,0.5333,4.4568
262,12672,3.9446,5.00022888,0.5336,4.4563
263,12673.08,3.9437,4.99977112,0.5339,4.4555
264,12674.16,3.9425,5.00022888,0.5344,4.4546
265,12674.88,3.9416,4.99977112,0.5345,4.454
266,12675.96,3.9405,4.99977112,0.5348,4.4538
267,12677.04,3.9399,5.00022888,0.5352,4.4528
268,12678.12,3.939,5.00007629,0.5353,4.4524
269,12679.2,3.938,4.99992371,0.5358,4.4519
270,12679.92,3.9371,4.99992371,0.5363,4.4509
271,12681,3.9362,4.99992371,0.5364,4.4506
272,12682.08,3.9356,5.00038147,0.5366,4.45
273,12683.16,3.9345,5.00053406,0.5369,4.4495
274,12683.88,3.9336,5.00007629,0.5371,4.4489
275,12684.96,3.9329,4.99992371,0.5375,4.4485
276,12686.04,3.9323,5.00007629,0.5374,4.4476
277,12687.12,3.9313,5.00022888,0.5375,4.4473
278,12688.2,3.9306,5.00022888,0.5374,4.4468
279,12688.92,3.9298,4.99992371,0.5377,4.446
280,12690,3.9289,5.00053406,0.5382,4.4455
281,12691.08,3.9286,5.00022888,0.5383,4.4454
282,12692.16,3.9275,5.00007629,0.5388,4.4452
283,12692.88,3.9268,4.99992371,0.5395,4.4449
284,12693.96,3.9261,4.99992371,0.5398,4.4444
285,12695.04,3.9255,4.99977112,0.5401,4.4444
286,12696.12,3.9248,5.00007629,0.5409,4.4438
287,12697.2,3.9242,4.99977112,0.541,4.4438
288,12697.92,3.9236,5.00022888,0.5415,4.4433
289,12699,3.9228,4.99992371,0.5415,4.4433
290,12700.08,3.9223,4.99931335,0.542,4.4428
291,12701.16,3.9217,5.00007629,0.5425,4.4427
292,12701.88,3.921,5.00007629,0.5426,4.4423
293,12702.96,3.9205,5.00007629,0.543,4.4422
294,12704.04,3.9197,5.00007629,0.5431,4.4419
295,12705.12,3.9191,4.99977112,0.5436,4.4414
296,12706.2,3.9184,5.00022888,0.5436,4.4411
297,12706.92,3.9181,5.00022888,0.5439,4.4406
298,12708,3.9176,5.00007629,0.5441,4.4403
299,12709.08,3.9168,4.99946594,0.5444,4.4401
300,12710.16,3.9164,5.00007629,0.5444,4.4396
301,12710.88,3.9159,4.99916077,0.5447,4.4395
302,12711.96,3.915,4.99977112,0.545,4.439
303,12713.04,3.9147,5.00007629,0.5452,4.4388
304,12714.12,3.9139,5.00068665,0.5453,4.4384
305,12715.2,3.9136,5.00038147,0.5455,4.4379
306,12715.92,3.9132,5.00038147,0.5455,4.4377
307,12717,3.9124,5.00022888,0.546,4.4373
308,12718.08,3.912,5.00007629,0.5461,4.4369
309,12719.16,3.9117,5.00022888,0.5465,4.4368
310,12719.88,3.9109,5.00007629,0.5465,4.4366
311,12720.96,3.9106,4.99977112,0.5468,4.4361
312,12722.04,3.9101,4.99992371,0.5469,4.436
313,12723.12,3.9094,4.99992371,0.5471,4.4358
314,12724.2,3.9089,4.99992371,0.5472,4.4355
315,12724.92,3.9084,5.00007629,0.5472,4.4353
316,12726,3.908,5.00022888,0.5479,4.435
317,12727.08,3.9075,5.00022888,0.5479,4.4349
318,12728.16,3.9072,5.00007629,0.5484,4.4346
319,12728.88,3.9065,5.00022888,0.5482,4.4344
320,12729.96,3.9062,5.00007629,0.5484,4.4339
321,12731.04,3.9057,5.00022888,0.5485,4.4336
322,12732.12,3.9054,4.99992371,0.5487,4.4333
323,12733.2,3.9048,4.99992371,0.549,4.4331
324,12733.92,3.9043,5.00022888,0.5492,4.4331
325,12735,3.9039,5.00022888,0.5492,4.4326
326,12736.08,3.9036,4.99992371,0.5493,4.4325
327,12737.16,3.9031,4.99977112,0.5498,4.4323
328,12737.88,3.9026,5.00022888,0.5496,4.432
329,12738.96,3.9025,4.99977112,0.55,4.4317
330,12740.04,3.9017,4.99992371,0.55,4.4315
331,12741.12,3.9016,5.00007629,0.5501,4.4314
332,12742.2,3.901,4.99961853,0.5503,4.4311
333,12742.92,3.9008,5.00053406,0.5504,4.4309
334,12744,3.9005,5.00022888,0.5506,4.4306
335,12745.08,3.9004,5.00007629,0.5507,4.4307
336,12746.16,3.8996,4.99946594,0.5509,4.4303
337,12746.88,3.8994,4.99992371,0.5511,4.4301
338,12747.96,3.8988,4.99977112,0.5517,4.4299
339,12749.04,3.8984,4.99961853,0.552,4.4296
340,12750.12,3.8981,4.99961853,0.5519,4.4296
341,12751.2,3.8976,5.00007629,0.5523,4.429
342,12751.92,3.8975,5.00007629,0.5522,4.4288
343,12753,3.897,4.99992371,0.5525,4.4288
344,12754.08,3.8965,4.99992371,0.5527,4.4287
345,12755.16,3.8964,4.99977112,0.5523,4.4284
346,12755.88,3.8958,5.00038147,0.5527,4.428
347,12756.96,3.8956,4.99977112,0.5528,4.428
348,12758.04,3.8953,5.00007629,0.5528,4.4277
349,12759.12,3.895,5.00022888,0.553,4.4276
350,12760.2,3.8946,4.99961853,0.5531,4.4274
351,12760.92,3.8943,5.00007629,0.5533,4.4272
352,12762,3.8938,5.00022888,0.5535,4.4271
353,12763.08,3.8936,5.00007629,0.5536,4.4268
354,12764.16,3.8933,4.99961853,0.5535,4.4266
355,12764.88,3.8929,4.99992371,0.5533,4.4263
356,12765.96,3.8924,4.99977112,0.5536,4.4258
357,12767.04,3.8923,4.99961853,0.5536,4.426
358,12768.12,3.8918,5.00038147,0.5542,4.426
359,12769.2,3.8917,4.99977112,0.5544,4.426
360,12769.92,3.8912,4.99961853,0.5547,4.4256
361,12771,3.8909,5.00007629,0.5549,4.4256
362,12772.08,3.8904,4.99977112,0.5552,4.4255
363,12773.16,3.8903,5.00022888,0.5552,4.4256
364,12773.88,3.8901,4.99977112,0.5554,4.4255
365,12774.96,3.8898,4.99977112,0.5555,4.4253
366,12776.04,3.8894,5.00007629,0.5557,4.4252
367,12777.12,3.8891,5.00007629,0.556,4.4253
368,12778.2,3.8891,5.00007629,0.5565,4.4252
369,12778.92,3.8886,4.99946594,0.5563,4.425
370,12780,3.8885,4.99992371,0.5568,4.4249
371,12781.08,3.8882,4.99992371,0.5566,4.4247
372,12782.16,3.8877,5.00083923,0.5569,4.4247
373,12782.88,3.8874,5.00022888,0.5569,4.4245
374,12783.96,3.8869,5.00007629,0.5573,4.4241
375,12785.04,3.8868,4.99992371,0.5573,4.4242
376,12786.12,3.8866,5.00007629,0.5573,4.4239
377,12787.2,3.8862,4.99977112,0.5576,4.4239
378,12787.56,3.8862,5.00022888,0.5576,4.4237
379,12787.56,4.0244,0,0.5576,4.4237
380,12787.92,4.0356,0,0.4622,4.4737
381,12789,4.0438,0,0.4571,4.4788
382,12790.08,4.0485,0,0.4555,4.4819
383,12791.16,4.0519,0,0.4539,4.4843
384,12791.88,4.0545,0,0.4531,4.4864
385,12792.96,4.0572,0,0.4525,4.4883
386,12794.04,4.0589,0,0.4517,4.4897
387,12795.12,4.0607,0,0.4512,4.4912
388,12796.2,4.0624,0,0.4509,4.4923
389,12796.92,4.0638,0,0.4505,4.4934
390,12798,4.0653,0,0.4502,4.4944
391,12799.08,4.0664,0,0.4499,4.4953
392,12800.16,4.0676,0,0.4494,4.4963
393,12800.88,4.0685,0,0.4493,4.4971
394,12801.96,4.0696,0,0.4488,4.498
395,12803.04,4.0706,0,0.4483,4.4982
396,12804.12,4.0714,0,0.4482,4.499
397,12805.2,4.0726,0,0.4478,4.4996
398,12805.92,4.0732,0,0.4478,4.5004
399,12807,4.0743,0,0.4475,4.5009
400,12808.08,4.0749,0,0.4475,4.5017
401,12809.16,4.0757,0,0.4475,4.5021
402,12809.88,4.0763,0,0.447,4.5031
403,12810.96,4.0771,0,0.4469,4.5033
404,12812.04,4.0778,0,0.447,4.5039
405,12813.12,4.0786,0,0.4467,4.5044
406,12814.2,4.0789,0,0.4466,4.5047
407,12814.92,4.0797,0,0.4464,4.5052
408,12816,4.0806,0,0.4461,4.5055
409,12817.08,4.0809,0,0.4461,4.506
410,12818.16,4.0813,0,0.4459,4.5068
411,12818.88,4.0821,0,0.4459,4.5071
412,12819.96,4.0824,0,0.4456,4.5076
413,12821.04,4.083,0,0.4456,4.508
414,12822.12,4.0838,0,0.4455,4.5085
415,12823.2,4.0844,0,0.4453,4.5088
416,12823.92,4.0847,0,0.4451,4.5088
417,12825,4.085,0,0.4451,4.5095
418,12826.08,4.0856,0,0.445,4.5098
419,12827.16,4.0861,0,0.445,4.5101
420,12827.88,4.0867,0,0.4448,4.5104
421,12828.96,4.0867,0,0.4447,4.5107
422,12830.04,4.0873,0,0.4448,4.5112
423,12831.12,4.0877,0,0.4445,4.5115
424,12832.2,4.088,0,0.4447,4.5119
425,12832.92,4.0883,0,0.4443,4.5122
426,12834,4.0887,0,0.4447,4.5128
427,12835.08,4.089,0,0.4445,4.513
428,12836.16,4.0896,0,0.444,4.5128
429,12836.88,4.0899,0,0.444,4.513
430,12837.96,4.0903,0,0.4439,4.5133
431,12839.04,4.0906,0,0.4435,4.5136
432,12840.12,4.0909,0,0.4435,4.5136
433,12841.2,4.0911,0,0.4434,4.5138
434,12841.92,4.0916,0,0.4434,4.5142
435,12843,4.0916,0,0.4434,4.5144
436,12844.08,4.0919,0,0.4432,4.5146
437,12845.16,4.092,0,0.4432,4.5146
438,12845.88,4.0925,0,0.4429,4.5146
439,12846.96,4.0928,0,0.4429,4.5147
440,12847.68,4.0931,0,0.4426,4.5149
441,12847.68,4.0926,0,0.4426,4.5149
442,12907.8,4.1016,0,0.4405,4.5208
443,12967.56,4.1045,0,0.4385,4.5216
444,13027.68,4.1065,0,0.4364,4.5211
445,13087.8,4.1073,0,0.4358,4.5211
446,13147.56,4.108,0,0.4353,4.5208
447,13207.68,4.1083,0,0.4346,4.5203
448,13267.8,4.1086,0,0.435,4.5206
449,13327.56,4.1089,0,0.4348,4.5201
450,13387.68,4.1091,0,0.4346,4.5203
451,13447.8,4.1093,0,0.4348,4.5203
452,13507.56,4.1094,0,0.4353,4.5212
453,13567.68,4.1094,0,0.435,4.5208
454,13627.8,4.1096,0,0.4343,4.52
455,13687.56,4.1093,0,0.4345,4.5198
456,13747.68,4.1096,0,0.435,4.5204
457,13807.8,4.1096,0,0.4356,4.5209
458,13867.56,4.1093,0,0.4358,4.5209
459,13927.68,4.1094,0,0.4362,4.5214
460,13987.8,4.1096,0,0.4359,4.5211
461,14047.56,4.1096,0,0.4364,4.5217
462,14107.68,4.1094,0,0.4366,4.5219
463,14167.8,4.1096,0,0.4372,4.5227
464,14227.56,4.1093,0,0.4378,4.5225
465,14287.68,4.1096,0,0.4372,4.5228
466,14347.8,4.1096,0,0.4378,4.5225
467,14407.56,4.1096,0,0.4372,4.5223
468,14467.68,4.1094,0,0.4373,4.5222
469,14527.8,4.1094,0,0.4377,4.5225
470,14587.56,4.1096,0,0.4377,4.5228
471,14647.68,4.1096,0,0.438,4.5227
472,14707.8,4.1094,0,0.438,4.5225
473,14767.56,4.1093,0,0.4386,4.5236
474,14827.68,4.1093,0,0.4393,4.5241
475,14887.8,4.1094,0,0.4394,4.5243
476,14947.56,4.1091,0,0.4394,4.5241
477,15007.68,4.1093,0,0.4407,4.5254
478,15067.8,4.1094,0,0.4412,4.526
479,15127.56,4.1093,0,0.4412,4.5263
480,15187.68,4.1091,0,0.4416,4.5265
481,15247.8,4.1091,0,0.441,4.5252
482,15307.56,4.1093,0,0.4423,4.527
483,15367.68,4.1091,0,0.4429,4.5279
484,15427.8,4.1093,0,0.4429,4.5279
485,15487.56,4.1093,0,0.4432,4.5284
486,15547.68,4.1091,0,0.4432,4.5281
487,15607.8,4.1091,0,0.4435,4.5284
488,15667.56,4.1091,0,0.4439,4.5289
489,15727.68,4.1091,0,0.4437,4.5286
490,15787.8,4.1089,0,0.4442,4.529
491,15847.56,4.1091,0,0.444,4.5289
492,15907.68,4.1091,0,0.4447,4.5292
493,15967.8,4.1088,0,0.4443,4.5292
494,16027.56,4.1089,0,0.4442,4.5289
495,16087.68,4.1089,0,0.4448,4.5293
496,16147.8,4.1089,0,0.4448,4.5295
497,16207.56,4.1086,0,0.4455,4.53
498,16267.68,4.1089,0,0.4456,4.5303
499,16327.8,4.1086,0,0.4455,4.53
500,16387.56,4.1086,0,0.4458,4.5303
501,16387.56,3.9567,5.00312805,0.4458,4.5303
502,16388.28,3.9455,4.99992371,0.5472,4.473
503,16389,3.9373,4.99992371,0.5523,4.4683
504,16390.08,3.9319,5.00068665,0.5544,4.4648
505,16391.16,3.9283,5.00007629,0.5558,4.4624
506,16392.24,3.9252,5.00007629,0.5571,4.4598
507,16393.32,3.9222,4.99992371,0.5581,4.4579
508,16394.04,3.9199,5.00053406,0.5589,4.4559
509,16395.12,3.9174,4.99992371,0.5593,4.4541
510,16396.2,3.9155,5.00022888,0.5598,4.4525
511,16397.28,3.9135,5.00007629,0.5604,4.4516
512,16398,3.9118,5.00007629,0.5608,4.4501
513,16399.08,3.9103,5.00007629,0.5611,4.449
514,16400.16,3.9088,4.99961853,0.5619,4.4481
515,16401.24,3.9074,4.99992371,0.5622,4.4473
516,16402.32,3.9062,4.99992371,0.5625,4.446
517,16403.04,3.9049,5.00022888,0.5627,4.4449
518,16404.12,3.9036,4.99992371,0.5632,4.4441
519,16405.2,3.9023,5.00022888,0.5633,4.4433
520,16406.28,3.9013,4.99992371,0.5636,4.4422
521,16407,3.9002,5.00022888,0.5635,4.4416
522,16408.08,3.8993,5.00007629,0.5641,4.4406
523,16409.16,3.8982,4.99977112,0.5641,4.4401
524,16410.24,3.8973,5.00007629,0.5643,4.4392
525,16411.32,3.8965,4.99992371,0.5646,4.4387
526,16412.04,3.8958,5.00007629,0.5649,4.4381
527,16413.12,3.8947,5.00022888,0.5649,4.4376
528,16414.2,3.8943,5.00007629,0.5652,4.4369
529,16415.28,3.8932,4.99992371,0.5655,4.4365
530,16416,3.8924,5.00022888,0.5655,4.4357
531,16417.08,3.8915,4.99992371,0.5659,4.4355
532,16418.16,3.8909,5.00038147,0.5659,4.4349
533,16419.24,3.8903,4.99961853,0.5663,4.4341
534,16420.32,3.8897,4.99992371,0.5665,4.4341
